# Wavelength	Extinction
# (nm)		(mag)
1430.000000	0.1152
1431.000000	0.1152
1432.000000	0.1152
1433.000000	0.1152
1434.000000	0.1152
1435.000000	0.1152
1436.000000	0.1152
1437.000000	0.1152
1438.000000	0.1152
1439.000000	0.1152
1440.000000	0.1152
1441.000000	0.1152
1442.000000	0.1152
1443.000000	0.1152
1444.000000	0.1152
1445.000000	0.1152
1446.000000	0.111
1447.000000	0.111
1448.000000	0.111
1449.000000	0.111
1450.000000	0.111
1451.000000	0.111
1452.000000	0.111
1453.000000	0.111
1454.000000	0.111
1455.000000	0.111
1456.000000	0.111
1457.000000	0.111
1458.000000	0.111
1459.000000	0.111
1460.000000	0.111
1461.000000	0.111
1462.000000	0.111
1463.000000	0.111
1464.000000	0.111
1465.000000	0.111
1466.000000	0.111
1467.000000	0.111
1468.000000	0.111
1469.000000	0.111
1470.000000	0.111
1471.000000	0.111
1472.000000	0.111
1473.000000	0.111
1474.000000	0.111
1475.000000	0.111
1476.000000	0.111
1477.000000	0.111
1478.000000	0.111
1479.000000	0.111
1480.000000	0.107
1481.000000	0.107
1482.000000	0.107
1483.000000	0.107
1484.000000	0.107
1485.000000	0.107
1486.000000	0.107
1487.000000	0.107
1488.000000	0.107
1489.000000	0.107
1490.000000	0.107
1491.000000	0.107
1492.000000	0.107
1493.000000	0.107
1494.000000	0.107
1495.000000	0.107
1496.000000	0.107
1497.000000	0.107
1498.000000	0.107
1499.000000	0.107
1500.000000	0.107
1501.000000	0.107
1502.000000	0.107
1503.000000	0.107
1504.000000	0.107
1505.000000	0.107
1506.000000	0.107
1507.000000	0.107
1508.000000	0.107
1509.000000	0.107
1510.000000	0.107
1511.000000	0.107
1512.000000	0.107
1513.000000	0.107
1514.000000	0.1032
1515.000000	0.1032
1516.000000	0.1032
1517.000000	0.1032
1518.000000	0.1032
1519.000000	0.1032
1520.000000	0.1032
